code,name,year,net_additions
E09000030,Tower Hamlets,2021-22,4203
E09000005,Brent,2021-22,3574
E09000025,Newham,2021-22,3243
E09000013,Hammersmith and Fulham,2021-22,2300
E09000008,Croydon,2021-22,2130
E09000032,Wandsworth,2021-22,1905
E09000018,Hounslow,2021-22,1737
E09000012,Hackney,2021-22,1531
E09000014,Haringey,2021-22,1511
E09000028,Southwark,2021-22,1450
E09000011,Greenwich,2021-22,1257
E09000002,Barking and Dagenham,2021-22,1206
E09000009,Ealing,2021-22,1066
E09000031,Waltham Forest,2021-22,981
E09000033,Westminster,2021-22,965
E09000010,Enfield,2021-22,937
E09000017,Hillingdon,2021-22,866
E09000004,Bexley,2021-22,710
E09000016,Havering,2021-22,624
E09000029,Sutton,2021-22,541
E09000007,Camden,2021-22,536
E09000024,Merton,2021-22,517
E09000019,Islington,2021-22,457
E09000023,Lewisham,2021-22,435
E09000001,City of London,2021-22,432
E09000015,Harrow,2021-22,432
E09000022,Lambeth,2021-22,378
E09000021,Kingston upon Thames,2021-22,307
E09000026,Redbridge,2021-22,287
E09000003,Barnet,2021-22,206
E09000020,Kensington and Chelsea,2021-22,187
E09000027,Richmond upon Thames,2021-22,173
E09000006,Bromley,2021-22,120
