Code,Area,Year,Net_additions
E09000001,City of London,2001-02,108
E09000002,Barking and Dagenham,2001-02,228
E09000003,Barnet,2001-02,286
E09000004,Bexley,2001-02,302
E09000005,Brent,2001-02,"1,401"
E09000006,Bromley,2001-02,257
E09000007,Camden,2001-02,772
E09000008,Croydon,2001-02,124
E09000009,Ealing,2001-02,259
E09000010,Enfield,2001-02,"1,183"
E09000011,Greenwich,2001-02,566
E09000012,Hackney,2001-02,"1,349"
E09000013,Hammersmith and Fulham,2001-02,192
E09000014,Haringey,2001-02,683
E09000015,Harrow,2001-02,229
E09000016,Havering,2001-02,402
E09000017,Hillingdon,2001-02,268
E09000018,Hounslow,2001-02,711
E09000019,Islington,2001-02,"1,011"
E09000020,Kensington and Chelsea,2001-02,68
E09000021,Kingston upon Thames,2001-02,147
E09000022,Lambeth,2001-02,"1,065"
E09000023,Lewisham,2001-02,471
E09000024,Merton,2001-02,-187
E09000025,Newham,2001-02,"1,219"
E09000026,Redbridge,2001-02,693
E09000027,Richmond upon Thames,2001-02,265
E09000028,Southwark,2001-02,421
E09000029,Sutton,2001-02,33
E09000030,Tower Hamlets,2001-02,"1,960"
E09000031,Waltham Forest,2001-02,417
E09000032,Wandsworth,2001-02,876
E09000033,Westminster,2001-02,"1,911"
E13000001,Inner London,2001-02,"11,988"
E13000002,Outer London,2001-02,"7,700"
E12000001,North East,2001-02,"4,489"
E12000002,North West,2001-02,"13,543"
E12000003,Yorkshire and The Humber,2001-02,"12,752"
E12000004,East Midlands,2001-02,"16,188"
E12000005,West Midlands,2001-02,"13,052"
E12000006,East,2001-02,"19,154"
E12000007,London,2001-02,"19,688"
E12000008,South East,2001-02,"26,219"
E12000009,South West,2001-02,"21,619"
E92000001,England,2001-02,"146,704"
E09000001,City of London,2002-03,9
E09000002,Barking and Dagenham,2002-03,312
E09000003,Barnet,2002-03,"1,083"
E09000004,Bexley,2002-03,316
E09000005,Brent,2002-03,"1,018"
E09000006,Bromley,2002-03,340
E09000007,Camden,2002-03,576
E09000008,Croydon,2002-03,396
E09000009,Ealing,2002-03,333
